drugbank_id,drug_name,drug_FDA,atc_code
DB03577,Alpha-Benzyl-Aminobenzyl-Phosphonic Acid,experimental,
DB03578,Pyruvamide,experimental,
DB03581,Glucose-6-Phosphate,experimental,
DB03582,N~2~-Succinylornithine,experimental,
DB03583,"(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one",experimental,
DB03584,4-Thio-beta-D-glucopyranose,experimental,
DB03585,Oxyphenbutazone,approved,M01AA03
DB03585,Oxyphenbutazone,approved,M02AA04
DB03585,Oxyphenbutazone,approved,S01BC02
DB03586,"(3R,4R,5S,6R)-6-Fluoro-3,4,5-trihydroxytetrahydro-2H-pyran-2-olate",experimental,
DB03587,Pyruvaldehyde,experimental,
DB03588,Diphenylacetic acid,experimental,
DB03589,Mesoxalic acid,experimental,
DB03590,"2,6-Diaminopimelic Acid",experimental,
DB03591,RU82209,experimental,
DB03592,Pterin-6-Yl-Methyl-Monophosphate,experimental,
DB03593,7-methyl-5'-guanylic acid,experimental,
DB03594,"1,2,4-Triazole",experimental,
DB03595,CRA_9785,experimental,
DB03596,N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide,experimental,
DB03597,gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine,experimental,
DB03598,"Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]",experimental,
DB03600,Capric acid,experimental,
DB03601,5-deoxyflavanone,experimental,
DB03602,S-benzylglutathione,experimental,
DB03603,Glucaric acid,experimental,
DB03604,Tiratricol,investigational,H03AA04
DB03604,Tiratricol,investigational,D11AX08
DB03605,"(2s)-2-[(2,4-Dichloro-Benzoyl)-(3-Trifluoromethyl-Benzyl)-Amino]-3-Phenyl-Propionic Acid",experimental,
DB03606,(S)-Rolipram,experimental,
DB03607,[(1R)-1-acetamido-2-(4-chlorophenyl)ethyl]-[(2S)-2-amino-3-hydroxy-3-oxo-propoxy]-dihydroxy-boron,experimental,
DB03608,Diminazene,experimental,
DB03609,3'-deoxyguanosine,experimental,
DB03610,4-(trifluoromethyl)phenol,experimental,
DB03611,L-2-amino-4-methoxy-cis-but-3-enoic acid,experimental,
DB03612,3-Hydroxybutyryl-Coenzyme A,experimental,
DB03613,4-hydroxyphenacyl coenzyme A,experimental,
DB03614,Mecobalamin,approved,B03BA05
DB03615,Ribostamycin,approved,J01GB10
DB03616,Kabiramide C,experimental,
DB03617,Modified Acarbose Hexasaccharide,experimental,
DB03618,2-(acetylamino)-2-deoxy-4-O-beta-D-galactopyranosyl-alpha-D-glucopyranose,experimental,
DB03619,Deoxycholic acid,approved,D11AX24
DB03621,"L-709,587",experimental,
DB03622,"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",experimental,
DB03623,"9-(4-Hydroxyphenyl)-2,7-Phenanthroline",experimental,
DB03624,7-(Carboxyamino)-8-Amino-Nonanoic Acid,experimental,
DB03626,"5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione",experimental,
DB03627,Adamantane,experimental,
DB03628,ISO24,experimental,
DB03629,Pyridoxal-5'-Phosphate-N-Oxide,experimental,
DB03630,2-Iodobenzylthio Group,experimental,
DB03631,"3-(4-hydroxy-3-imino-6-oxo-cyclohexa-1,4-dienyl)-alanine",experimental,
DB03632,Argifin,experimental,
DB03633,Lpc-Ether,experimental,
DB03634,"1,3-DI(N-Propyloxy-A-mannopyranosyl)-carbomyl 5-methyazido-benzene",experimental,
DB03635,Ethanesulfonic acid,experimental,
DB03636,Glycinamide,experimental,
DB03637,Guanidine-3-propanol,experimental,
DB03638,Cytidyl-2'-5'-phospho-guanosine,experimental,
DB03639,1-Guanidinium-7-Aminoheptane,experimental,
DB03640,Beta-Hydroxyaspartic Acid,experimental,
DB03641,"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate",experimental,
DB03642,N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide,experimental,
DB03643,CRA_1144,experimental,
DB03644,3-hydroxyanthranilic acid,experimental,
DB03645,Phosphonoacetohydroxamic Acid,experimental,
DB03646,"2,3-di-O-phytanyl-sn-glycerol",experimental,
DB03647,3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid,experimental,
DB03648,"(2S,2'S)-2,2'-(1,2-Hydrazinediylbis{methylene[(2S)-1-oxo-2,1-hexanediyl]imino})bis(6-amino-N-phenylhexanamide)",experimental,
DB03649,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",experimental,
DB03650,(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,experimental,
DB03651,Picric acid,experimental,
DB03652,beta-D-Galactopyranuronic acid,experimental,
DB03653,"5-{[Ethyl(Methyl)Amino]Methyl}-2-Methyl-5,6-Dihydropyrimidin-4-Amine",experimental,
DB03654,"S,S-Propylthiocysteine",experimental,
DB03656,Tribenuron Methyl,experimental,
DB03657,1-deoxy-1-methoxycarbamido-beta-D-glucopyranose,experimental,
DB03658,"(2R,4S)-2-[(1R)-1-{[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",experimental,
DB03659,Butylamine,experimental,
DB03660,4-Iodo-L-phenylalanine,experimental,
DB03661,L-cysteic acid,experimental,
DB03662,Vitamin B6 Complexed with 2-Amino-Pentanoic Acid,experimental,
DB03663,"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol",experimental,
DB03664,P1-(adenosine-5'-P5-(uridine-5')pentaphosphate,experimental,
DB03666,Zidovudine monophosphate,experimental,
DB03667,Acetic Acid Salicyloyl-Amino-Ester,experimental,
DB03668,6-oxouridine 5'-phosphate,experimental,
DB03669,4-Fluorophenethyl Alcohol,experimental,
DB03670,"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",experimental,
DB03671,Digoxigenin,experimental,
DB03672,9-N-Phenylmethylamino-Tacrine,experimental,
DB03673,beta-2-Thienyl-L-alanine,experimental,
DB03675,"2,3-Dihydroxy-Valerianic Acid",experimental,
DB03676,Cystein-S-Yl Cacodylate,experimental,
DB03677,N-Cyclohexyl-N'-Decylurea,experimental,
DB03678,"(6,7-Difluoro-Quinazolin-4-Yl)-(1-Methyl-2,2-Diphenyl-Ethyl)-Amine",experimental,
DB03679,2-Hydroxy-Tryptophan,experimental,
DB03680,Tartronate,experimental,
DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid",experimental,
DB03683,2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid,experimental,
DB03685,Uridine monophosphate,experimental,
DB03686,S-(4-nitrobenzyl)glutathione,experimental,
DB03687,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,experimental,
DB03688,Hydracrylic acid,experimental,
DB03690,"(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide",experimental,
DB03691,WRR-112,experimental,
DB03692,1-Hexadecanosulfonyl-O-L-Serine,experimental,
DB03693,N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,experimental,
DB03694,N-phenylthiourea,experimental,
DB03695,Piritrexim,investigational,
DB03696,Lanosterol,experimental,
DB03697,4-Sulfonamide-[1-(4-Aminobutane)]Benzamide,experimental,
DB03698,5-Mercaptoethanol-2-decenoyl-coenzyme A,experimental,
DB03699,Succinyl-Coenzyme A,experimental,
DB03700,D-Threonine,experimental,
DB03701,Vanoxerine,investigational,
DB03702,"N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide",experimental,
DB03703,Cyclohexanol,experimental,
DB03704,12-Hydroxydodecanoic Acid,experimental,
DB03705,6-Methylamino-5-Nitroisocytosine,experimental,
DB03706,1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane,experimental,
DB03707,S-Ethyl-N-Phenyl-Isothiourea,experimental,
DB03708,Adenosine 5'-phosphosulfate,experimental,
DB03709,Bicine,experimental,
DB03710,[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium,experimental,
DB03711,6-Hydroxy-6-Methyl-Heptan-3-One,experimental,
DB03712,RU85053,experimental,
DB03714,4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid,experimental,
DB03716,5'-Fluoro-5'-Deoxyadenosine,experimental,
DB03717,"3-Hydroxy-4-(3,4,5-trihydroxy-tetrahydro-pyran-2-yloxy)-piperidin-2-one",experimental,
DB03718,6-aza uridine 5'-monophosphate,experimental,
DB03719,N-Ethyl-5'-Carboxamido Adenosine,experimental,
DB03720,"alpha,beta-Dehydroaminobutyric acid",experimental,
DB03721,N-acetyl-alpha-neuraminic acid,experimental,
DB03722,"3,4-Dihydro-5-Methyl-Isoquinolinone",experimental,
DB03723,2'-Deoxy-thymidine-beta-L-rhamnose,experimental,
DB03724,"(1s,2s)-1-Amino-1-(1,3-Thiazol-2-Yl)Propan-2-Ol",experimental,
DB03725,5'-Guanylylmethylenebisphosphonate,experimental,
DB03726,Purine Riboside-5'-Monophosphate,experimental,
DB03727,Coproporphyrin I,experimental,
DB03728,p-Chlorobenzoic acid,experimental,
DB03729,2-Amino-1H-benzimidazol-5-ol,experimental,
DB03730,"3,9-Dimethyladenine",experimental,
DB03731,S-2-(Boronoethyl)-L-Cysteine,experimental,
DB03732,Etheno-Nadp,experimental,
DB03733,Ethylene Dichloride,experimental,
DB03734,Xylarohydroxamate,experimental,
DB03735,9-(2-Deoxy-Beta-D-Ribofuranosyl)-6-Methylpurine,experimental,
DB03736,2-Cyclopropylmethylenepropanal,experimental,
DB03737,"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One",experimental,
DB03738,Pantothenoylaminoethenethiol,experimental,
DB03739,3-Hydroxyimino Quinic Acid,experimental,
DB03740,N-acetyl-alpha-D-glucosamine,experimental,
DB03741,2-Methylbutanoic Acid,experimental,
DB03742,Compound 4-D,experimental,
DB03744,"Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate",experimental,
DB03745,Arabinose-5-phosphate,experimental,
DB03746,"3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate",experimental,
DB03747,N-Acetyl-glucosamine thiazoline,experimental,
DB03748,Methyl-[4-(4-Piperidine-1-Ylmethyl-Phenyl)-Cyclohexyl]-Carbaminic Acid-(4-Chlorophenyl)-Ester,experimental,
DB03749,"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole",experimental,
DB03750,Isovaleric Acid,experimental,
DB03751,2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose,experimental,
DB03752,P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid,experimental,
DB03753,Flurbiprofen Methyl Ester,experimental,
DB03754,Tromethamine,approved,B05XX02
DB03754,Tromethamine,approved,B05BB03
DB03755,"Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate",experimental,
DB03756,Doconexent,approved,
DB03757,N-{[(2-Methyl-2-propanyl)oxy]carbonyl}-L-alanyl-L-alaninamide,experimental,
DB03758,Radicicol,experimental,
DB03759,FG-9041,experimental,
DB03760,Dihydrolipoic Acid,experimental,
DB03761,5-fluoro-2'-deoxyuridine-5'-monophosphate,experimental,
DB03763,5-methyl-2'-deoxypseudouridine,experimental,
DB03764,4-Hydroperoxy-2-Methoxy-Phenol,experimental,
DB03765,2'-cytidylic acid,experimental,
DB03766,Propanoic acid,approved,S01AX10
DB03767,Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide,experimental,
DB03768,"N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3",experimental,
DB03769,D-Eritadenine,experimental,
DB03770,N-hydroxyguanidine,experimental,
DB03771,Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine,experimental,
DB03772,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol",experimental,
DB03773,alpha-D-quinovopyranose,experimental,
DB03774,Glutamyl Group,experimental,
DB03775,Dethiobiotin,experimental,
DB03776,Lactaldehyde,experimental,
DB03777,Bisindolylmaleimide I,experimental,
DB03779,Glucosaminyl-(Alpha-6)-D-Myo-Inositol,experimental,
DB03780,2-Aminoquinazolin-4(3h)-One,experimental,
DB03781,"2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid",experimental,
DB03782,N-(1-adamantyl)-N'-(4-guanidinobenzyl)urea,experimental,
DB03783,Phenacetin,withdrawn,N02BE73
DB03783,Phenacetin,withdrawn,N02BE03
DB03783,Phenacetin,withdrawn,N02BE53
DB03784,Elaidamide,experimental,
DB03785,Mevinolinic acid,experimental,
DB03787,"(5-Hydroxy-6-methyl-4-{[(E)-(3-oxo-1,2-oxazolidin-4-ylidene)amino]methyl}-3-pyridinyl)methyl dihydrogen phosphate",experimental,
DB03788,GC-24,experimental,
DB03789,"2,3-Dimethylimidazolium Ion",experimental,
DB03790,L-methionine sulfone,experimental,
DB03791,GW-3965,experimental,
DB03792,5-Aminouracil,experimental,
DB03793,Benzoic acid,approved,A16AX30
DB03793,Benzoic acid,approved,A16AX11
DB03793,Benzoic acid,approved,V04CG30
DB03794,Trifluoroalanine,experimental,
DB03795,2-Dehydropantoate,experimental,
DB03796,Palmitic Acid,approved,
DB03797,3-Aminomethyl-Pyridinium-Adenine-Dinucleotide,experimental,
DB03798,2'-Deoxycytidine-5'-Monophosphate,experimental,
DB03799,Trifluoromethionine,experimental,
DB03800,Deoxyuridine monophosphate,experimental,
DB03801,Lysine Nz-Carboxylic Acid,experimental,
DB03802,"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",experimental,
DB03803,"N,N-[2,5-O-dibenzyl-glucaryl]-DI-[valinyl-aminomethanyl-pyridine]",experimental,
DB03804,5-Bromothienyldeoxyuridine,experimental,
DB03807,"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",experimental,
DB03808,Hexamidine,approved,S03AA05
DB03808,Hexamidine,approved,D08AC04
DB03808,Hexamidine,approved,R02AA18
DB03808,Hexamidine,approved,R01AX07
DB03808,Hexamidine,approved,S01AX08
DB03809,9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,experimental,
DB03810,3-Methylglutamic acid,experimental,
DB03811,Histidinol,experimental,
DB03812,"3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",experimental,
DB03813,2-Decenoyl N-acetyl cysteamine,experimental,
DB03814,2-(N-morpholino)ethanesulfonic acid,experimental,
DB03815,Fucitol,experimental,
DB03816,Difluoromethionine,experimental,
DB03817,"L-2,4-diaminobutyric acid",experimental,
DB03818,N-[Tosyl-D-Prolinyl]Amino-Ethanethiol,experimental,
DB03819,Salicylhydroxamic Acid,experimental,
DB03820,"(2S,5R,6R)-6-({(6S)-6-[(Ammonioacetyl)amino]-6-carboxylatohexanoyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",experimental,
DB03821,2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid,experimental,
DB03822,Ethyl dihydrogen phosphate,experimental,
DB03823,Epigallocatechin,experimental,
DB03824,"7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline",experimental,
DB03825,Rhodamine 6G,experimental,
DB03826,"5,6-Diaminouracil",experimental,
DB03827,"(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine",experimental,
DB03828,RU78299,experimental,
DB03829,Pseudouridine-5'-Monophosphate,experimental,
DB03830,Phosphorylated Dihydropteroate,experimental,
DB03831,"[(Z)-octadec-9-enyl] (2R)-2,3-bis(oxidanyl)propanoate",experimental,
DB03832,"3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium",experimental,
DB03833,"2-Prolyl-5-Tert-Butyl-[1,3,4]Oxadiazole",experimental,
DB03834,"(3S)-3-(dioxidosulfanyl)-N-[(1Z)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine",experimental,
DB03835,"N-[(5S,7R,8S,9S,10R)-8,9,10-Trihydroxy-7-(hydroxymethyl)-2,4-dioxo-6-oxa-1,3-diazaspiro[4.5]dec-3-yl]acetamide",experimental,
DB03836,"1,3,5-trichlorobenzene",experimental,
DB03837,Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide,experimental,
DB03839,D-Tyrosine,experimental,
DB03840,Tetra(Imidazole)Diaquacopper (Ii),experimental,
DB03841,Niraxostat,experimental,
DB03842,2-Chloro-6-Methyl-Aniline,experimental,
DB03843,Formaldehyde,approved,
DB03844,"N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide",experimental,
DB03845,P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate,experimental,
DB03846,2'-deoxy-5-(hydroxymethyl)uridine 5'-(dihydrogen phosphate),experimental,
DB03847,gamma-carboxy-L-glutamic acid,experimental,
DB03848,Benzenesulfinic acid,experimental,
DB03849,Cilomilast,investigational,
DB03850,Jaspisamide A,experimental,
DB03851,Carbazole Butanoic Acid,experimental,
DB03852,Eucalyptol,experimental,R05CA13
DB03853,Reactive Red 6 hapten,experimental,
DB03854,Cadaverine,experimental,
DB03855,L-Threonohydroxamate 4-Phosphate,experimental,
DB03856,L-Eflornithine,experimental,
DB03857,"1,4-dithio-beta-D-glucopyranose",experimental,
DB03858,S-Acetonylcysteine,experimental,
DB03859,1-thio-beta-D-glucopyranose,experimental,
DB03860,ICI-164384,experimental,
DB03861,"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",experimental,
DB03862,Tetrahydrooxazine,experimental,
DB03863,2-O-Methyl-beta-L-fucopyranose,experimental,
DB03864,Monothioglycerol,experimental,
DB03865,6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,experimental,
DB03866,Prostaglandin G2,experimental,
DB03867,3-nitro-L-tyrosine,experimental,
DB03868,3-Dehydroquinic Acid,experimental,
DB03869,5'-O-(L-Serylsulfamoyl)adenosine,experimental,
DB03870,"Ara-Alpha(1,3)-Xyl",experimental,
DB03871,"lambda-bis(2,2'-bipyridine)imidazole ruthenium (II)",experimental,
DB03872,"2,3-Dideoxyfucose",experimental,
DB03874,"(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine",experimental,
DB03876,"Thieno[2,3-B]Pyridine-2-Carboxamidine",experimental,
DB03877,AL-4623,experimental,
DB03878,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,experimental,
DB03879,alpha-L-methyl-fucose,experimental,
DB03880,Batimastat,experimental,
DB03881,"(2S,3R,4S,5S)-3,4-Dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium",experimental,
DB03882,"5-Alpha-Androstane-3-Beta,17beta-Diol",experimental,
DB03883,Carboxyethyllumazine,experimental,
DB03884,Phenylpyruvic acid,experimental,
DB03885,L-gamma-glutamyl-S-(naphthalen-1-ylmethyl)-L-cysteinylglycine,experimental,
DB03886,Biopterin,experimental,
DB03887,Alpha-Adenosine Monophosphate,experimental,
DB03888,N-Allyl-6-{[3-(4-bromophenyl)-1-methyl-1H-indazol-6-yl]oxy}-N-methyl-1-hexanamine,experimental,
DB03889,S-(N-hydroxy-N-bromophenylcarbamoyl)glutathione,experimental,
DB03890,N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide,experimental,
DB03891,"Dibenzyl (carbonylbis{2,1-hydrazinediyl[(2S)-4-methyl-1-oxo-1,2-pentanediyl]})biscarbamate",experimental,
DB03892,5-N-Allyl-arginine,experimental,
DB03893,Thionicotinamide-Adenine-Dinucleotide,experimental,
DB03894,N-Propargyl-1(S)-Aminoindan,experimental,
DB03895,Malachite Green,experimental,
DB03896,Triphosphoric acid,experimental,
DB03897,Phloretic acid,experimental,
DB03898,3-Chloro-4-Hydroxyphenylglycine,experimental,
DB03899,9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,experimental,
DB03900,tert-butanol,experimental,
DB03901,5-Oxoprolinal,experimental,
DB03902,Oxalic Acid,experimental,
DB03903,Tmr,experimental,
DB03904,Urea,approved,D02AE01
DB03904,Urea,approved,B05BC02
DB03904,Urea,approved,D02AE51
DB03905,Succinamide-CoA,experimental,
DB03906,2-Phenylheme,experimental,
DB03907,"N-[(E)-3-[(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]prop-2-enyl]-2,3-dihydroxy-5-nitrobenzamide",experimental,
DB03908,"N,N-[2,5-O-[Dibenzyl]-glucaryl]-DI-[isoleucyl-amido-methane]",experimental,
DB03909,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",experimental,
DB03910,"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",experimental,
DB03911,L-Xylopyranose,experimental,
DB03912,D-pantetheine 4'-phosphate,experimental,
DB03913,Coenzyme F420,experimental,
DB03914,"[2-(1-amino-2-hydroxy-propyl)-4-(1H-indol-3-ylmethylene)-5-oxo-4,5-dihydro-imidazol-1-yl]-acetaldehyde",experimental,
DB03915,2-Amino-3-Ketobutyric Acid,experimental,
DB03916,4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine,experimental,
DB03917,N-Ethylretinamide,experimental,
DB03918,"6S-5,6,7,8-Tetrahydrobiopterin",experimental,
DB03919,Ethyl-Carbamic Acid Methyl Ester,experimental,
DB03920,N-Methyl-Alpha-Beta-Dehydroalanine,experimental,
DB03921,4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,experimental,
DB03923,Feruloyl Coenzyme A,experimental,
DB03924,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",experimental,
DB03925,Freselestat,experimental,
DB03926,"5alpha-androstane-3beta,17alpha-diol",experimental,
DB03927,Glycyl-L-alpha-amino-epsilon-pimelyl-D-alanine,experimental,
DB03928,"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol",experimental,
DB03929,D-Serine,approved,
DB03930,4-Methyl-Pyrroline-5-Carboxylic Acid,experimental,
DB03931,Diguanosine-5'-Triphosphate,experimental,
DB03932,LFA703,experimental,
DB03933,C-1027 Aromatized chromophore,experimental,
DB03934,Zinc protoporphyrin,experimental,
DB03935,"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",experimental,
DB03936,1-Deoxy-Ribofuranose-5'-Phosphate,experimental,
DB03937,D-erythrose 4-phosphate,experimental,
DB03938,Deacetoxycephalosporin C,experimental,
DB03939,"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",experimental,
DB03940,Oxamic Acid,experimental,
DB03941,p-Heptylphenol,experimental,
DB03942,Carboxylic PRPP,experimental,
DB03943,D-Asparagine,experimental,
DB03944,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",experimental,
DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",experimental,
DB03946,"3,4-Dihydroxybenzoic Acid",experimental,
DB03947,D-Xylulose,experimental,
DB03948,"6-Chloropurine Riboside, 5'-Monophosphate",experimental,
DB03949,N-[(2S)-3-Phenyl-2-sulfanylpropanoyl]-L-phenylalanyl-L-tyrosine,experimental,
DB03950,(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,experimental,
DB03951,N-acetyl-D-glucosamine-6-phosphate,experimental,
DB03952,9-(6-deoxy-beta-D-allofuranosyl)-6-methylpurine,experimental,
DB03953,Thiocitrulline,experimental,
DB03955,1-deoxymannojirimycin,experimental,
DB03956,"Inositol 2,4,5-trisphosphate",experimental,
DB03957,SP2456,experimental,
DB03958,7-methyl-guanosine-5'-triphosphate-5'-guanosine,experimental,
DB03959,"N,O6-Disulfo-Glucosamine",experimental,
DB03960,Cp-Coeleneterazine,experimental,
DB03961,"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate",experimental,
DB03962,Nicotinamide 8-bromo-adenine dinucleotide phosphate,experimental,
DB03963,S-(Dimethylarsenic)Cysteine,experimental,
DB03964,4-Hydroxy-Aconitate Ion,experimental,
DB03966,Clorobiocin,experimental,
DB03967,Dodecyl sulfate,experimental,
DB03968,"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",experimental,
DB03970,"(7R)-7-(6,7-Dihydro-5H-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid",experimental,
DB03971,Acarbose Derived Hexasaccharide,experimental,
DB03972,"2-Amino-4h-1,3-Benzoxathiin-4-Ol",experimental,
DB03973,"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate",experimental,
DB03974,L-homoarginine,experimental,
DB03975,Mercuribenzoic Acid,experimental,
DB03976,Phosphorylisopropane,experimental,
DB03977,Trimethyllysine,experimental,
DB03978,Tyrosinal,experimental,
DB03979,1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol,experimental,
DB03980,4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,experimental,
DB03981,"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",experimental,
DB03982,"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid",experimental,
