"","pathway","genes"
"GOBP_GAP_JUNCTION_ASSEMBLY","GOBP_GAP_JUNCTION_ASSEMBLY","ACE,ACE2,AGT,APLNR,CAV1,CNTNAP2,CTNNA1,GJA1,GJA5,GJB1,GJB2,GJB6,GJC1,GJD3,HOPX,IL1B,IRX3,TBX5"
"GOBP_GAP_JUNCTION_MEDIATED_INTERCELLULAR_TRANSPORT","GOBP_GAP_JUNCTION_MEDIATED_INTERCELLULAR_TRANSPORT","GJA3,GJA8,GJB2,GJB4,GJB6,MIP"
"GOBP_GASTRIC_ACID_SECRETION","GOBP_GASTRIC_ACID_SECRETION","CCKBR,CHRM5,GHRL,HIP1R,HRH2,KCNQ1,PTGER3,SCT,SGK1,SLC26A7,SLC9A4,SNX10,TFF2"
"GOBP_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION","GOBP_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION","GHRL,GHSR,HTR1D,HTR2B,KIT,PTAFR,PTGER3,SCN11A,SPX,SULF1,SULF2,TACR2"
"GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND","GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND","ACVR1,ACVR2A,ACVR2B,AMOT,CRB2,CTNNB1,ETS2,FOXA2,FRS2,GDF3,LDB1,LHX1,LRP5,MEGF8,NAT8B,NODAL,OTX2,PLPP3,PRICKLE1,RNF2,SMAD4,SRF,TBXT,TENM4,UGDH,WNT5A,ZBTB17,ZIC3"
"GOBP_GAS_TRANSPORT","GOBP_GAS_TRANSPORT","AQP1,AQP5,AQP6,BPGM,CA2,CYGB,HBA1,HBA2,HBB,HBD,HBE1,HBG1,HBG2,HBM,HBQ1,HBZ,IPCEF1,MB,NGB,RHAG,RHBG,RHCG"
"GOBP_GDP_MANNOSE_METABOLIC_PROCESS","GOBP_GDP_MANNOSE_METABOLIC_PROCESS","DPM1,GFUS,GMDS,GMPPB,GUK1,MPI,PMM1,PMM2"
"GOBP_GDP_METABOLIC_PROCESS","GOBP_GDP_METABOLIC_PROCESS","CARD11,CASK,DLG1,DLG2,ENTPD4,GUK1,LRGUK,MAGI3,MPP1,NUDT18,TJP2"
"GOBP_GENERAL_ADAPTATION_SYNDROME","GOBP_GENERAL_ADAPTATION_SYNDROME","CRHR1,HCN1,NR4A2,PENK,TMEM74,ZNF212"
"GOBP_GENITALIA_DEVELOPMENT","GOBP_GENITALIA_DEVELOPMENT","AR,ASB1,AXL,BAK1,BAX,BMP5,BMP6,CHD7,CTNNB1,CYP19A1,DCANP1,DHCR24,DNAJC19,ESR1,FGF10,FGF8,FOXF2,GREB1L,HOXA13,HOXD13,HSD17B3,KLHL10,LGR4,LHCGR,LHX1,LRP2,MERTK,NEUROG1,NIPBL,NPR2,PDGFRA,PKD1,PTPN11,RBP4,ROR2,SHH,SRD5A1,SRD5A2,STRA6,SYCP2,TBX3,TIFAB,TP63,TYRO3,WNT5A,WNT9B,WT1"
"GOBP_GENITALIA_MORPHOGENESIS","GOBP_GENITALIA_MORPHOGENESIS","AR,CTNNB1,DCANP1,FGF10,KLHL10,NEUROG1,NIPBL,NPR2,RBP4,SYCP2,TIFAB,TP63"
"GOBP_GENOMIC_IMPRINTING","GOBP_GENOMIC_IMPRINTING","ARID4A,ARID4B,CTCF,CTCFL,DIRAS3,DNMT3A,DNMT3L,GSK3A,IGF2,KDM1B,MAEL,MECP2,NDN,PIK3CA,PRMT7,TRIM28,ZDBF2,ZFP57"
"GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION","GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION","ADA,CDH17,IL21,IL6,IRF8,ITFG2,PHF14,POU2AF1"
"GOBP_GERMINAL_CENTER_FORMATION","GOBP_GERMINAL_CENTER_FORMATION","ADA,ADAM17,BCL3,BCL6,CXCL13,FOXJ1,KLHL6,MEF2C,NFKB2,PKN1,RC3H1,TNFAIP3,TNFSF13B,UNC13D"
"GOBP_GERM_CELL_MIGRATION","GOBP_GERM_CELL_MIGRATION","CXADR,DMRT1,FOXC1,ITGB1,KIT,PDILT,PRSS37,TGFB1,TGFBR1"
"GOBP_GERM_CELL_PROLIFERATION","GOBP_GERM_CELL_PROLIFERATION","CIB1,DMRT1,EIF2S2,FANCA,HPGDS,PRDX4,PTGDR2,PTGDS,RHBDD1,SRC,UCHL1"
"GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT","GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT","AKT1,BAD,BHLHA15,BMAL1,BMP4,BMP5,BMP6,CDH2,CDK6,CLOCK,DLL1,FASN,FZD5,GATA2,GDF11,GPAT4,GSK3A,GSK3B,HIF1A,INSM1,MIR541,NKX2-2,NKX6-1,PAX6,PDPK1,PGR,RARA,RARB,RARG,RFX3,RHEB,SIDT2,SLC9A4,SMO,SPDEF,WNT5A"
"GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION","GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION","AGR2,AKT1,ASCL1,BAD,BHLHA15,BMAL1,BMP2,BMP4,BMP5,BMP6,CAV1,CDH2,CDK6,CLCN2,CLOCK,CTNNB1,DLL1,EXT1,FASN,FGF2,FGF8,FGFR2,FOXA1,FZD5,GATA2,GATA6,GDF11,GPAT4,GSK3A,GSK3B,HES1,HIF1A,HOXA5,IL13,IL31RA,INSM1,KLF4,LHX3,MIR541,NEUROD1,NFIB,NKX2-2,NKX6-1,NKX6-2,NKX6-3,NOTCH1,NR5A2,ONECUT1,PAX6,PDPK1,PDX1,PERCC1,PGR,PROX1,RARA,RARB,RARG,RBM4,RFX3,RFX6,RHEB,SIDT2,SLC9A4,SMO,SOX9,SPDEF,TP63,WDR77,WNT4,WNT5A,YAP1,ZNF800"
"GOBP_GLANDULAR_EPITHELIAL_CELL_MATURATION","GOBP_GLANDULAR_EPITHELIAL_CELL_MATURATION","BHLHA15,FZD5,GATA2,GDF11,GPAT4,HIF1A,NKX6-1,PGR,RFX3"
"GOBP_GLIAL_CELL_ACTIVATION","GOBP_GLIAL_CELL_ACTIVATION","ADORA2A,AGER,AIF1,APP,ATM,AZU1,C1QA,C5AR1,CALHM2,CCL3,CLU,CNTF,CST7,CTSC,CX3CL1,CX3CR1,EGFR,GRN,IFNG,IFNGR1,IFNGR2,IL13,IL1B,IL33,IL6,ITGAM,ITGB2,JAK2,KCNJ8,LDLR,LRP1,LRRK2,MAPT,MIR128-1,MIR142,MIR181B1,MIR181C,MMP8,NAGLU,NR1D1,PSEN1,PTPRC,SMO,SNCA,SPHK1,STAP1,SYT11,TAFA3,TLR2,TLR3,TLR6,TLR9,TNF,TREM2,TRPV1,TTBK1,TYROBP,ZEB2"
"GOBP_GLIAL_CELL_APOPTOTIC_PROCESS","GOBP_GLIAL_CELL_APOPTOTIC_PROCESS","AKAP12,CASP3,CASP9,CCL2,CERS6,DLL1,GAS6,PRKCA,PRKCD,PRKCH,PRKCI,RAD21,RB1,TNFRSF21,TP53,TRAF2,TREM2"
"GOBP_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY","GOBP_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY","ARTN,GATA3,GDF15,GDNF,GFRA1,GFRA2,GFRA3,GFRA4,GFRAL,MMP14,NRTN,PSPN,RET,SULF1,SULF2"
"GOBP_GLIAL_CELL_FATE_COMMITMENT","GOBP_GLIAL_CELL_FATE_COMMITMENT","ASCL1,CTNNB1,GCM1,HES5,NFIA,NFIB,NKX2-2,OLIG2,PAX6,SOX2,SOX8,SOX9,TAL1"
"GOBP_GLIAL_CELL_FATE_SPECIFICATION","GOBP_GLIAL_CELL_FATE_SPECIFICATION","ASCL1,NFIA,NFIB,NKX2-2,OLIG2,PAX6,SOX9"
"GOBP_GLIAL_CELL_MIGRATION","GOBP_GLIAL_CELL_MIGRATION","ADGRG1,APCDD1,ATP1B2,AZU1,BMERB1,CCL2,CCL3,CCR2,CD9,CDK5,CDK5R1,CDK5R2,CERS2,COL3A1,CRKL,CSF1,CSPG4,CTNNB1,CX3CL1,CX3CR1,DAB1,DAB2IP,DISC1,EPHA4,FOXG1,GLI3,GPR183,HEXB,LAMB1,LRP8,MATN2,MBOAT7,MIR221,MIR222,MMP14,NDN,NF1,NR2E1,NTN1,P2RX4,P2RY1,P2RY12,PAFAH1B1,PTPRB,RELN,RRAS,RRAS2,RTN4,SCRIB,SRGAP2,SRGAP2C,STAP1,SUN1,SUN2,SYNE2,TGFB2,TIAM1,TREM2,TSPO,WDR47,ZMIZ1"
"GOBP_GLIAL_CELL_PROLIFERATION","GOBP_GLIAL_CELL_PROLIFERATION","ABCC8,AREG,ASCL2,CDKN2B,CERS2,CHRM1,CLU,CSF1,CSF1R,CX3CL1,CYSLTR1,DICER1,EGFR,ETV5,GBA1,GFAP,HES1,IL1B,IL33,IL34,IL6,KRAS,LEPR,LGI4,LTA,LYN,MECP2,MIR125B1,MIR146A,MIR221,MIR222,MYB,NDP,NF1,NF2,NFIA,NFIB,NOTCH1,NTN1,ORC3,PENK,PLAG1,PPP1CC,PRKCH,PRKCI,PTK2B,RB1,RNF10,SHH,SKI,SLC7A5,SOX10,SOX11,SOX4,TNF,TP53,TREM2,TSPO,UFL1,VEGFC"
"GOBP_GLOMERULAR_BASEMENT_MEMBRANE_DEVELOPMENT","GOBP_GLOMERULAR_BASEMENT_MEMBRANE_DEVELOPMENT","COL4A3,COL4A4,EXT1,LAMB2,MPV17,MYO1E,NID1,NPHS1,SULF1,SULF2,WT1"
"GOBP_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT","GOBP_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT","ADIPOQ,ASXL1,FOXJ1,IQGAP1,JAG1,LAMB2,MAGI2,MYO1E,NOTCH2,NPHS1,NPHS2,PODXL"
"GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT","GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT","ADIPOQ,ASXL1,BASP1,CD24,CD2AP,CD34,EDN1,EDNRA,EDNRB,EXT1,FOXC1,FOXC2,FOXJ1,IQGAP1,JAG1,KLF15,LAMB2,MAGI2,MYO1E,NOTCH2,NPHS1,NPHS2,PECAM1,PODXL,PROM1,PTPRO,WT1"
"GOBP_GLOMERULAR_MESANGIAL_CELL_PROLIFERATION","GOBP_GLOMERULAR_MESANGIAL_CELL_PROLIFERATION","BMP4,BMP7,CFLAR,EGR1,IL6R,ITGB3,MIR125A,PDGFA,PDGFB,PDGFD,PDGFRB,SERPINB7,WT1"
"GOBP_GLOMERULAR_MESANGIUM_DEVELOPMENT","GOBP_GLOMERULAR_MESANGIUM_DEVELOPMENT","ACTA2,BMP4,BMP7,CD34,CFLAR,EGR1,FOXC2,GPR4,IL6R,ITGB3,MIR125A,NOTCH1,PDGFA,PDGFB,PDGFD,PDGFRB,SERPINB7,WT1"
"GOBP_GLOMERULUS_DEVELOPMENT","GOBP_GLOMERULUS_DEVELOPMENT","ACTA2,ADIPOQ,AGTR2,ANGPT1,ANGPT2,AQP1,ASXL1,BASP1,BCL2,BMP4,BMP7,CD24,CD2AP,CD34,CFLAR,COL4A3,COL4A4,COMT,EDN1,EDNRA,EDNRB,EGR1,ENPEP,EXT1,FOXC1,FOXC2,FOXJ1,GPR4,HES1,HEYL,IL6R,IQGAP1,ITGB3,JAG1,KIRREL3,KLF15,LAMB2,LGR4,LHX1,MAGI2,MEF2C,MIR125A,MPV17,MTSS1,MYO1E,NID1,NOG,NOTCH1,NOTCH2,NOTCH3,NPHS1,NPHS2,OSR1,PAX2,PDGFA,PDGFB,PDGFD,PDGFRA,PDGFRB,PECAM1,PLCE1,PODXL,PPP3CA,PROM1,PTPRO,RET,SERPINB7,SULF1,SULF2,TCF21,TEK,WT1,WWTR1"
"GOBP_GLOMERULUS_MORPHOGENESIS","GOBP_GLOMERULUS_MORPHOGENESIS","BMP4,KIRREL3,MEF2C,MTSS1,NOTCH2,NOTCH3,PDGFRA,PDGFRB,TCF21"
"GOBP_GLOMERULUS_VASCULATURE_MORPHOGENESIS","GOBP_GLOMERULUS_VASCULATURE_MORPHOGENESIS","BMP4,NOTCH2,NOTCH3,PDGFRA,PDGFRB,TCF21"
"GOBP_GLUCAN_BIOSYNTHETIC_PROCESS","GOBP_GLUCAN_BIOSYNTHETIC_PROCESS","ACADM,AGL,AKT1,AKT2,DYRK2,ENPP1,EPM2AIP1,GBE1,GCK,GSK3A,GSK3B,GYG1,GYG2,GYS1,GYS2,IGF1,IGF2,INPP5K,INS,INSR,IRS1,IRS2,MIR1271,MIR15B,MIR195,NHLRC1,NR1D1,PASK,PER2,PGM2,PHKG1,PHKG2,PPP1CA,PPP1R3A,PPP1R3B,PPP1R3C,PPP1R3D,PPP1R3E,PPP1R3F,PPP1R3G,PRKAG3,PTGES3,PTH,SELENOS,SORBS1,UGP2"
"GOBP_GLUCAN_METABOLIC_PROCESS","GOBP_GLUCAN_METABOLIC_PROCESS","ACADM,ADCY10,AGL,AKT1,AKT2,ATG12,ATG2A,ATG2B,ATG3,COMT,DYRK2,ENPP1,EPM2AIP1,G6PC1,GAA,GABARAPL1,GBE1,GCGR,GCK,GNMT,GSK3A,GSK3B,GYG1,GYG2,GYS1,GYS2,IGF1,IGF2,IL6ST,INPP5K,INS,INSR,IRS1,IRS2,KHK,LEPR,MGAM,MIR1271,MIR15B,MIR195,NHLRC1,NPC1,NR1D1,PASK,PCDH12,PER2,PFKM,PGM2,PHKA1,PHKA2,PHKB,PHKG1,PHKG2,PHLDA2,POMC,PPP1CA,PPP1CB,PPP1CC,PPP1R1A,PPP1R2,PPP1R2B,PPP1R2P1,PPP1R3A,PPP1R3B,PPP1R3C,PPP1R3D,PPP1R3E,PPP1R3F,PPP1R3G,PRKAG2,PRKAG3,PTGES3,PTH,PYGB,PYGL,PYGM,RB1CC1,RUBCNL,SELENOS,SORBS1,STBD1,STK40,UGP2,WDR45,WDR45B,WIPI1,WIPI2"
"GOBP_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS","GOBP_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS","ATP1A1,BMP2,BMP5,CACNA1H,CRH,CYP11A1,CYP11B1,CYP11B2,CYP17A1,CYP21A2,DGKQ,DKK3,H6PD,NR3C1,REST,WNT4"
"GOBP_GLUCOCORTICOID_METABOLIC_PROCESS","GOBP_GLUCOCORTICOID_METABOLIC_PROCESS","APOA1,ATP1A1,BMP2,BMP5,CACNA1H,CBR1,CRH,CYP11A1,CYP11B1,CYP11B2,CYP17A1,CYP21A2,DGKQ,DKK3,GAL,H6PD,HSD11B2,MECP2,NR3C1,REST,SERPINA6,STAR,STUB1,WNT4,YWHAH"
"GOBP_GLUCOCORTICOID_SECRETION","GOBP_GLUCOCORTICOID_SECRETION","CRH,CRHR1,CRY1,CRY2,GAL,GALR1,GHRL,KCNQ1,POMC,PTPN11,SELENOM,TSPO"
"GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS","GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS","AMDHD2,CHI3L1,CHI3L2,CHIA,CHIT1,CTBS,GNPDA1,GNPDA2,OVGP1"
"GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS","AMDHD2,CHI3L1,CHI3L2,CHIA,CHIT1,CHST1,CHST2,CHST3,CHST4,CHST5,CHST6,CHST7,CTBS,EXTL2,GNE,GNPDA1,GNPDA2,LARGE1,MGAT3,NAGK,NANP,OGA,OVGP1,PGM3,RENBP"
"GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS","GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS","ACACB,ALDOB,DERA,G6PC1,G6PC2,G6PC3,G6PD,GCK,GPI,H6PD,HK1,HK2,HK3,HKDC1,MLST8,MTOR,PGD,PGLS,PRPS2,RBKS,RPE,RPEL1,RPIA,RPTOR,SHPK,TALDO1,TIGAR,TKT,TP53"
"GOBP_GLUCOSE_CATABOLIC_PROCESS","GOBP_GLUCOSE_CATABOLIC_PROCESS","ACTN3,ADCY10,BAD,ENO1,ENO2,ENO3,FOXK1,FOXK2,GCK,HK1,HK2,HK3,LRP5,MIR210,PFKFB2,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PKM,TIGAR,TKTL1,TP53,TPI1"
"GOBP_GLUCOSE_IMPORT","GOBP_GLUCOSE_IMPORT","ACACB,ACE,ADIPOQ,AKT1,AKT2,APPL1,APPL2,ARPP19,ASPSCR1,C1QTNF12,CAPN10,CD2AP,CLTCL1,CREBL2,DHRS7C,DRD1,ENPP1,ERFE,FGF19,FGF21,GPC3,GRB10,GSK3A,HK2,HNF1A,IGF1,INS,INSR,IRS1,IRS2,ITLN1,KLF15,LEP,MAPK14,MEF2A,MIR103A1,MIR107,MIR143,MIR223,NFE2L2,OCLN,OPN3,OSBPL8,OSTN,PEA15,PID1,PIK3R1,PLA2G1B,POU4F2,PRKAG2,PRKCI,PTH,PTPN11,RAB4B,RHOQ,RNASEL,RPS6KB1,RTN2,SELENOS,SESN2,SGCB,SIRT6,SLC1A2,SLC25A27,SLC27A1,SLC27A4,SLC2A1,SLC2A14,SLC2A2,SLC2A3,SLC2A4,SORBS1,SORT1,STXBP3,TERT,TNF,TRARG1,TSC1,ZDHHC7"
"GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS","GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS","SGCB,SLC27A1,SLC27A4,SLC2A4,TRARG1,ZDHHC7"
"GOBP_GLUCOSYLCERAMIDE_CATABOLIC_PROCESS","GOBP_GLUCOSYLCERAMIDE_CATABOLIC_PROCESS","GBA1,GBA2,GBA3,MIR127,MIR16-1,MIR195,PRKCD,SCARB2"
"GOBP_GLUCOSYLCERAMIDE_METABOLIC_PROCESS","GOBP_GLUCOSYLCERAMIDE_METABOLIC_PROCESS","FA2H,GBA1,GBA2,GBA3,MIR127,MIR16-1,MIR195,PRKAA1,PRKCD,SCARB2,UGCG"
"GOBP_GLUTAMATERGIC_NEURON_DIFFERENTIATION","GOBP_GLUTAMATERGIC_NEURON_DIFFERENTIATION","CABP4,CBLN1,GNAT2,GRID2,KNDC1,LBX1,MTPN,NAGLU,NDP,OPHN1,PAX6,PRDM1,PROX1,RHO,VSX1,WNT7A,ZHX2"
"GOBP_GLUTAMATE_CATABOLIC_PROCESS","GOBP_GLUTAMATE_CATABOLIC_PROCESS","ADHFE1,GAD1,GAD2,GLUD1,GLUD2,GLUL,GOT1,GOT2"
"GOBP_GLUTAMATE_METABOLIC_PROCESS","GOBP_GLUTAMATE_METABOLIC_PROCESS","AADAT,ADHFE1,ALDH18A1,ALDH4A1,ALDH5A1,AMDHD1,ASL,ATCAY,BLOC1S6,DGLUCY,FPGS,FTCD,GAD1,GAD2,GCLC,GCLM,GGT1,GLS,GLS2,GLUD1,GLUD2,GLUL,GOT1,GOT2,HAL,MTHFS,NAGS,NR1H4,OAT,PRODH,PRODH2,SLC7A11,TAT,UROC1"
"GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY","GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY","APP,CDK5R1,CLN3,CPEB4,CX3CL1,DAGLA,FMR1,FRRS1L,FYN,GNAQ,GRIA1,GRIA2,GRIA3,GRIA4,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,HOMER1,HOMER2,HOMER3,KCNB1,MEF2C,NCSTN,NECAB2,NLGN3,PLCB1,PLP1,PRNP,PTK2B,SHANK3,SLC1A1,SSTR1,TRPM1"
"GOBP_GLUTAMATE_REUPTAKE","GOBP_GLUTAMATE_REUPTAKE","ATP1A2,CLN8,ITGB1,KCNJ10,PER2,SLC17A8"
"GOBP_GLUTAMATE_SECRETION","GOBP_GLUTAMATE_SECRETION","ABCC8,ADORA1,ADORA2A,APBA1,AVP,AVPR1A,BEST1,DTNBP1,GABBR1,GIPC1,GJA1,GRM2,GRM7,KCNJ8,KMO,NF1,NPY5R,NTRK2,NTSR1,P2RX7,PRKG1,RAB3GAP1,SLC38A2,SNCA,STXBP1,SYT4,TRH,TRPV1"
"GOBP_GLUTAMATE_SECRETION_NEUROTRANSMISSION","GOBP_GLUTAMATE_SECRETION_NEUROTRANSMISSION","ABCC8,DTNBP1,KCNJ8,KMO,NF1,RAB3GAP1,SLC38A2,STXBP1"
"GOBP_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS","GOBP_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS","ALDH18A1,ASL,ASS1,CLN3,GLS,GLS2,GLUD1,GLUD2,GLUL,LGSN,NAGS,NOXRED1,OAT,OTC,PYCR1,PYCR2,PYCR3"
"GOBP_GLUTAMINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS","GOBP_GLUTAMINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS","ADHFE1,ALDH4A1,ARG1,ARG2,ARHGAP11B,ASRGL1,ATP2B4,DAO,DDAH1,FAH,GAD1,GAD2,GLS,GLS2,GLUD1,GLUD2,GLUL,GOT1,GOT2,MIR21,NOS1,NOS2,NOS3,OAT,PRODH,PRODH2"
"GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS","GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS","AADAT,ADHFE1,ADSS1,ALDH18A1,ALDH4A1,ALDH5A1,AMDHD1,ARG1,ARG2,ARHGAP11B,ASL,ASNS,ASNSD1,ASRGL1,ASS1,ATCAY,ATP2B4,BLOC1S6,CAD,CLN3,CPS1,CTPS1,CTPS2,DAO,DDAH1,DGLUCY,FAH,FPGS,FTCD,GAD1,GAD2,GCLC,GCLM,GFPT1,GFPT2,GGT1,GLS,GLS2,GLUD1,GLUD2,GLUL,GLYATL1,GLYATL1B,GMPS,GOT1,GOT2,HAL,LGSN,MECP2,MIR21,MTHFS,NAGS,NIT2,NOS1,NOS2,NOS3,NOXRED1,NR1H4,OAT,OTC,PFAS,PHGDH,PPAT,PRODH,PRODH2,PYCR1,PYCR2,PYCR3,RIMKLA,RIMKLB,SIRT4,SLC38A1,SLC7A11,TAT,UCP2,UROC1"
"GOBP_GLUTAMINE_METABOLIC_PROCESS","GOBP_GLUTAMINE_METABOLIC_PROCESS","ADSS1,ARHGAP11B,ASL,ASNS,ASNSD1,BLOC1S6,CAD,CPS1,CTPS1,CTPS2,GFPT1,GFPT2,GLS,GLS2,GLUD1,GLUL,GLYATL1,GLYATL1B,GMPS,LGSN,MECP2,NIT2,NR1H4,PFAS,PHGDH,PPAT,SIRT4,SLC38A1,UCP2"
"GOBP_GLUTAMINE_TRANSPORT","GOBP_GLUTAMINE_TRANSPORT","LEP,SLC1A4,SLC1A5,SLC38A1,SLC38A2,SLC38A3,SLC38A5,SLC38A6,SLC38A7,SLC38A9"
"GOBP_GLUTATHIONE_CATABOLIC_PROCESS","GOBP_GLUTATHIONE_CATABOLIC_PROCESS","CHAC1,CHAC2,DPEP1,GGT1,GGT2P,GGT3P,GGT5,GGT7,GGTLC1,GGTLC2,GGTLC3"
"GOBP_GLUTATHIONE_METABOLIC_PROCESS","GOBP_GLUTATHIONE_METABOLIC_PROCESS","ARL6IP5,CHAC1,CHAC2,CTNS,DPEP1,ETHE1,G6PD,GCLC,GCLM,GGT1,GGT2P,GGT3P,GGT5,GGT6,GGT7,GGTLC1,GGTLC2,GGTLC3,GLO1,GLRX2,GPX1,GSR,GSS,GSTA1,GSTA2,GSTA3,GSTA4,GSTA5,GSTK1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTO1,GSTO2,GSTP1,GSTT1,GSTT2,GSTT2B,GSTT4,GSTZ1,HAGH,HPGDS,IDH1,MGST2,MMACHC,NAT8,NDP,NFE2L2,OPLAH,PARK7,SLC1A1,SLC1A2,SLC7A11,SOD1,SOD2"
"GOBP_GLUTATHIONE_TRANSMEMBRANE_TRANSPORT","GOBP_GLUTATHIONE_TRANSMEMBRANE_TRANSPORT","ABCC1,ABCC4,ABCC5,GJA1,SLC13A3,SLC25A39,SLC25A40,SLC7A11"
"GOBP_GLUTATHIONE_TRANSPORT","GOBP_GLUTATHIONE_TRANSPORT","ABCC1,ABCC4,ABCC5,GJA1,MGST1,NHERF1,SLC13A3,SLC25A39,SLC25A40,SLC7A11"
"GOBP_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS","GOBP_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS","ALDOB,GLYCTK,PCK1,RPE,RPEL1,RPIA,SHPK,SLC25A10,TALDO1,TKFC,TKT,TPI1"
"GOBP_GLYCEROLIPID_CATABOLIC_PROCESS","GOBP_GLYCEROLIPID_CATABOLIC_PROCESS","AADAC,ABHD12,ABHD12B,ABHD16A,ABHD16B,ABHD2,ABHD5,ABHD6,APOA2,APOA4,APOA5,APOB,APOC1,APOC2,APOC3,CPS1,DAGLA,DAGLB,DDHD2,ENPP2,ENPP6,FAAH,FGF21,GDE1,GDPD1,GDPD3,GPCPD1,GPIHBP1,GPLD1,INPP5F,LDLR,LIPC,LIPE,LIPG,LPL,LYPLA2,MGLL,PIK3CG,PLA2G10,PLA2G15,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLA2G7,PLB1,PLCB1,PLIN5,PNLIPRP2,PNPLA1,PNPLA2,PNPLA3,PNPLA4,PNPLA5,PNPLA6,PNPLA7,PNPLA8,PRDX6,SCARB1,SMPD4,SORL1"
"GOBP_GLYCEROL_3_PHOSPHATE_METABOLIC_PROCESS","GOBP_GLYCEROL_3_PHOSPHATE_METABOLIC_PROCESS","GK,GK2,GK5,GPAM,GPAT2,GPAT3,GPD1,GPD1L,GPD2"
"GOBP_GLYCEROL_ETHER_METABOLIC_PROCESS","GOBP_GLYCEROL_ETHER_METABOLIC_PROCESS","AGMO,AGPS,CHPT1,DHRS7B,FAR1,FASN,GNPAT,LIPE,LPCAT2,NCEH1,PAFAH1B1,PEDS1,PEX7,PLA2G10,PLA2G4A,PLA2G4C,PLA2G6,PLA2G7,PLAAT3,PXMP4,TMEM86B"
"GOBP_GLYCEROL_TRANSMEMBRANE_TRANSPORT","GOBP_GLYCEROL_TRANSMEMBRANE_TRANSPORT","AQP1,AQP10,AQP11,AQP2,AQP3,AQP7,AQP7B,AQP7P3,AQP9"
"GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS","GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS","ABHD12,ABHD12B,ABHD16A,ABHD16B,APOC1,ENPP2,ENPP6,GDE1,GDPD1,GDPD3,GPCPD1,INPP5F,LDLR,LIPC,PLA2G10,PLA2G15,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLA2G7,PLB1,PLCB1,PNLIPRP2,PNPLA6,PNPLA7,PNPLA8,PRDX6,SCARB1,SMPD4"
